==========================================
Job ID: 440144
Node(s): i614-[044,051-054,061]
Start Time: Mon Nov 10 08:03:28 PM CST 2025
Working Directory: /home1/11112/rasmus1142/381K-Vision-GNN-Project
==========================================
Python 3.9.18
/home1/11112/rasmus1142/381K-Vision-GNN-Project/venv/bin/python
(50000, 32, 32, 3)
Epoch 69, Train Loss: 0.7519, Train Acc: 0.7306, Test Loss: 1.4538, Test Acc: 0.5376, LR: 0.000500
Epoch 70, Train Loss: 0.7516, Train Acc: 0.7283, Test Loss: 1.3999, Test Acc: 0.5470, LR: 0.000500
Epoch 71, Train Loss: 0.7410, Train Acc: 0.7338, Test Loss: 1.4550, Test Acc: 0.5336, LR: 0.000500
Epoch 72, Train Loss: 0.7323, Train Acc: 0.7366, Test Loss: 1.4135, Test Acc: 0.5491, LR: 0.000500
Epoch 73, Train Loss: 0.7351, Train Acc: 0.7355, Test Loss: 1.4217, Test Acc: 0.5487, LR: 0.000500
Epoch 74, Train Loss: 0.7284, Train Acc: 0.7388, Test Loss: 1.4434, Test Acc: 0.5543, LR: 0.000500
Epoch 75, Train Loss: 0.7243, Train Acc: 0.7394, Test Loss: 1.4393, Test Acc: 0.5489, LR: 0.000500
Epoch 76, Train Loss: 0.7158, Train Acc: 0.7410, Test Loss: 1.4175, Test Acc: 0.5580, LR: 0.000500
Epoch 77, Train Loss: 0.7168, Train Acc: 0.7406, Test Loss: 1.4541, Test Acc: 0.5464, LR: 0.000500
Epoch 78, Train Loss: 0.7098, Train Acc: 0.7431, Test Loss: 1.4349, Test Acc: 0.5470, LR: 0.000500
Epoch 79, Train Loss: 0.6991, Train Acc: 0.7465, Test Loss: 1.4380, Test Acc: 0.5475, LR: 0.000500
Epoch 80, Train Loss: 0.6983, Train Acc: 0.7487, Test Loss: 1.4298, Test Acc: 0.5491, LR: 0.000500
Epoch 81, Train Loss: 0.6892, Train Acc: 0.7507, Test Loss: 1.4970, Test Acc: 0.5334, LR: 0.000500
Epoch 82, Train Loss: 0.6840, Train Acc: 0.7530, Test Loss: 1.5120, Test Acc: 0.5429, LR: 0.000500
Epoch 83, Train Loss: 0.6844, Train Acc: 0.7533, Test Loss: 1.4831, Test Acc: 0.5405, LR: 0.000500
Epoch 84, Train Loss: 0.6825, Train Acc: 0.7536, Test Loss: 1.4767, Test Acc: 0.5484, LR: 0.000500
Epoch 85, Train Loss: 0.6740, Train Acc: 0.7593, Test Loss: 1.4774, Test Acc: 0.5437, LR: 0.000500
Epoch 86, Train Loss: 0.6740, Train Acc: 0.7554, Test Loss: 1.4445, Test Acc: 0.5445, LR: 0.000500
Epoch 87, Train Loss: 0.6686, Train Acc: 0.7599, Test Loss: 1.4941, Test Acc: 0.5431, LR: 0.000500
Epoch 88, Train Loss: 0.6673, Train Acc: 0.7593, Test Loss: 1.4916, Test Acc: 0.5403, LR: 0.000500
Epoch 89, Train Loss: 0.6576, Train Acc: 0.7628, Test Loss: 1.5355, Test Acc: 0.5444, LR: 0.000500
Epoch 90, Train Loss: 0.6517, Train Acc: 0.7629, Test Loss: 1.4933, Test Acc: 0.5430, LR: 0.000500
Epoch 91, Train Loss: 0.6506, Train Acc: 0.7637, Test Loss: 1.5446, Test Acc: 0.5391, LR: 0.000500
Epoch 92, Train Loss: 0.6465, Train Acc: 0.7658, Test Loss: 1.5296, Test Acc: 0.5474, LR: 0.000500
Epoch 93, Train Loss: 0.6420, Train Acc: 0.7665, Test Loss: 1.5017, Test Acc: 0.5421, LR: 0.000500
Epoch 94, Train Loss: 0.6415, Train Acc: 0.7708, Test Loss: 1.5546, Test Acc: 0.5321, LR: 0.000500
Epoch 95, Train Loss: 0.6378, Train Acc: 0.7702, Test Loss: 1.5507, Test Acc: 0.5300, LR: 0.000500
Epoch 96, Train Loss: 0.6328, Train Acc: 0.7720, Test Loss: 1.5639, Test Acc: 0.5463, LR: 0.000500
Epoch 97, Train Loss: 0.6289, Train Acc: 0.7721, Test Loss: 1.5491, Test Acc: 0.5397, LR: 0.000500
Epoch 98, Train Loss: 0.6257, Train Acc: 0.7738, Test Loss: 1.5327, Test Acc: 0.5425, LR: 0.000500
Epoch 99, Train Loss: 0.6244, Train Acc: 0.7730, Test Loss: 1.5308, Test Acc: 0.5471, LR: 0.000500
Epoch 100, Train Loss: 0.6201, Train Acc: 0.7761, Test Loss: 1.5487, Test Acc: 0.5472, LR: 0.000500

Training curves saved to 'training_curves.png'
==========================================
End Time: Tue Nov 11 01:08:36 AM CST 2025
Test completed successfully!
==========================================
